filename,caption_from_docs,caption_in_spreadsheet
fig_09_07b.jpg,NOT FOUND IN DOC,Figure 9.7. Examples of the Coanda effect. (a) a ping-pong ball levitated using a hairdryer (b) a representation of the flow showing the curved streamlines with the centre line of the original flow shown dashed. (c) Water being curved by a spoon. (d) The same effect is responsible for dribbly teapots.
fig_09_07c.jpg,NOT FOUND IN DOC,Figure 9.7. Examples of the Coanda effect. (a) a ping-pong ball levitated using a hairdryer (b) a representation of the flow showing the curved streamlines with the centre line of the original flow shown dashed. (c) Water being curved by a spoon. (d) The same effect is responsible for dribbly teapots.
fig_09_07d.jpg,NOT FOUND IN DOC,Figure 9.7. Examples of the Coanda effect. (a) a ping-pong ball levitated using a hairdryer (b) a representation of the flow showing the curved streamlines with the centre line of the original flow shown dashed. (c) Water being curved by a spoon. (d) The same effect is responsible for dribbly teapots.
fig_09_08.svg,Figure 8.  A steam injector,Figure 9.8.  A steam injector
fig_09_09a.jpg,NOT FOUND IN DOC,"Figure 9.9.  A sand casting.  (a) Church bells are commonly fabricated using sand casting. (b) molten iron is poured into a mould created from sand, but care is needed to prevent entrainment of air from the sand into the molten metal which affects the quality of the finished product."
fig_09_09b.png,NOT FOUND IN DOC,"Figure 9.9.  A sand casting.  (a) Church bells are commonly fabricated using sand casting. (b) molten iron is poured into a mould created from sand, but care is needed to prevent entrainment of air from the sand into the molten metal which affects the quality of the finished product."
fig_09_10.jpg,"Figure 10 shows the old Cheddar’s Lane sewage pumping station in Cambridge.  This is now a museum with the original steam pumps in working order.  Also of interest is that these ran almost entirely on waste.  This mostly took the form of the ash from the coal fires that heated every house in the city.  Although apparently burnt to a cinder, in fact an open fire only uses about half the energy in the coal and the much higher temperatures in the furnace of the station meant the other 50% could be used to run the pumps.  For the purposes of this chapter, we estimate the velocity of the draught this 180-feet high chimney can generate.","Figure 9.10.  The boiler chimney at the Cheddar’s Lane Industrial Museum, Cambridge"
fig_09_11a.jpg,NOT FOUND IN DOC,Figure 9.11. (a) An illustration of a furnace and chimney. (b) The weight of hot air in the chimney is much less than the equivalent column outside
fig_09_11b.svg,NOT FOUND IN DOC,Figure 9.11. (a) An illustration of a furnace and chimney. (b) The weight of hot air in the chimney is much less than the equivalent column outside
fig_09_12a.svg,NOT FOUND IN DOC,Figure 9.12 (a) Two cylinders in a wide flow and (b) Two cylinders in a jet
fig_09_12b.svg,NOT FOUND IN DOC,Figure 9.12 (a) Two cylinders in a wide flow and (b) Two cylinders in a jet
fig_09_13a.jpg,NOT FOUND IN DOC,Figure 9.13 (a) A perfume atomiser.  OUP:  CAN WE TAKE OUR OWN PHOTO?.(b) Entrainment draws liquid out of vessel. (c) Low pressure in Vena Contracta (Bernoulli) draws liquid out of the vessel
fig_09_13b.png,NOT FOUND IN DOC,Figure 9.13 (a) A perfume atomiser.  OUP:  CAN WE TAKE OUR OWN PHOTO?.(b) Entrainment draws liquid out of vessel. (c) Low pressure in Vena Contracta (Bernoulli) draws liquid out of the vessel
fig_09_13c.png,NOT FOUND IN DOC,Figure 9.13 (a) A perfume atomiser.  OUP:  CAN WE TAKE OUR OWN PHOTO?.(b) Entrainment draws liquid out of vessel. (c) Low pressure in Vena Contracta (Bernoulli) draws liquid out of the vessel
fig_09_14a.png,NOT FOUND IN DOC,Figure 9.14. Examples of levitation. (a) A ball in a funnel. (b) a disc levitated using a vacuum cleaner blowing through a hole in a second disc (c) a circular card lifted by blowing through a cotton reel and (d) the flow lines.
fig_09_14b.svg,NOT FOUND IN DOC,Figure 9.14. Examples of levitation. (a) A ball in a funnel. (b) a disc levitated using a vacuum cleaner blowing through a hole in a second disc (c) a circular card lifted by blowing through a cotton reel and (d) the flow lines.
fig_09_14c.svg,NOT FOUND IN DOC,Figure 9.14. Examples of levitation. (a) A ball in a funnel. (b) a disc levitated using a vacuum cleaner blowing through a hole in a second disc (c) a circular card lifted by blowing through a cotton reel and (d) the flow lines.
fig_09_14d.svg,NOT FOUND IN DOC,Figure 9.14. Examples of levitation. (a) A ball in a funnel. (b) a disc levitated using a vacuum cleaner blowing through a hole in a second disc (c) a circular card lifted by blowing through a cotton reel and (d) the flow lines.
fig_09_15.svg,"Figure 15 shows the flow round a cylinder (it’s easier to analyse a cylinder than a sphere) that is spinning in the clockwise direction. The cylinder is moving from right to left, but we get the same effect if the cylinder is stationary in a flow going from left to right. The velocity on the top surface is increased and that on the bottom decreased.  From Bernoulli’s equation the pressure is less on the top than the bottom so there is a vertical force on the cylinder.  This is consistent with the fact that the centrifugal pressure gradient is increased on the top since the radius of curvature of the streamlines remains close to that of the cylinder, while the velocity is increased by the spinning cylinder. The flow depicted in Fig 15 is “back spin” and the lift created causes the ball to stay in the air longer. Conversely, spin in the opposite direction is called “top spin” which pulls the ball down to the ground faster. This is extremely beneficial in tennis, as the ball can be very fast with top spin without overshooting the baseline and backspin in the Dambusters raid meant that the spinning bombs hit the surface of the water gently enabling them to bounce without blowing up.","Figure 9.15.  Flow round a cylinder spinning clockwise, depicting “back spin” of a ball moving from right to left. Relative to the ball, flow is from left to right.    OUP:   NOT SURE WHERE THIS FROM"
fig_09_16a.svg,NOT FOUND IN DOC,Figure 9.16.  (a) The Bosphorus runs between the Mediterranean and the Black Sea. (b) Cross-section through the Bosphorus.   OUP:   NOT SURE WHERE THIS IS FROM
fig_09_16b.png,NOT FOUND IN DOC,Figure 9.16.  (a) The Bosphorus runs between the Mediterranean and the Black Sea. (b) Cross-section through the Bosphorus.   OUP:   NOT SURE WHERE THIS IS FROM
fig_09_17.jpg,Figure 17. Kilimanjaro   OUP:   NOT SURE WHERE THIS IS FROM,Figure 9.17. Kilimanjaro    OUP:   NOT SURE WHERE THIS IS FROM
fig_09_18a.png,NOT FOUND IN DOC,Figure 9.18. (a) a fast-moving river. OUP:   NOT SURE WHERE THIS IS FROM   (b) It is easier to move from B to A by going along the bank first. (c) An array of vortices can be averaged to give a surface current and vice-versa.
fig_09_18b.png,NOT FOUND IN DOC,Figure 9.18. (a) a fast-moving river. OUP:   NOT SURE WHERE THIS IS FROM   (b) It is easier to move from B to A by going along the bank first. (c) An array of vortices can be averaged to give a surface current and vice-versa.
fig_09_18c.png,NOT FOUND IN DOC,Figure 9.18. (a) a fast-moving river. OUP:   NOT SURE WHERE THIS IS FROM   (b) It is easier to move from B to A by going along the bank first. (c) An array of vortices can be averaged to give a surface current and vice-versa.
fig_09_19a.png,NOT FOUND IN DOC,Figure 9.19. Blowing out a candle. (a) We start with potential flow (b) Vorticity forms an eddy (c) This produces a jet of air
fig_09_19b.png,NOT FOUND IN DOC,Figure 9.19. Blowing out a candle. (a) We start with potential flow (b) Vorticity forms an eddy (c) This produces a jet of air
fig_09_19c.png,NOT FOUND IN DOC,Figure 9.19. Blowing out a candle. (a) We start with potential flow (b) Vorticity forms an eddy (c) This produces a jet of air
fig_09_20a.png,NOT FOUND IN DOC,Figure 9.20. Trying to suck out a candle. (a) Potential flow with the velocities reversed.  (b) The vorticity moves to the left and the candle doesn’t notice any change.
fig_09_20b.png,NOT FOUND IN DOC,Figure 9.20. Trying to suck out a candle. (a) Potential flow with the velocities reversed.  (b) The vorticity moves to the left and the candle doesn’t notice any change.
fig_10_01.png,Fig.1 Eric Laithwaite giving his 1974 Royal Institution Christmas Lectures,Fig.10.1 Eric Laithwaite giving his 1974 Royal Institution Christmas Lectures
fig_10_02a.svg,NOT FOUND IN DOC,"Fig. 10.2. (a) A trolley is moving along a radial track on a rotating turntable. It’s speed, v, measured relative to the table is constant but as it moves from P to P′ there is a sideways component of velocity due to the rotation of the table, which reduces with radius. (b) In time t, the trolley has moved from P to P′, but if the track exerted no sideways force on the trolley, it would end up P′′. The sideways force required is called the Coriolis force."
fig_10_02b.png,NOT FOUND IN DOC,"Fig. 10.2. (a) A trolley is moving along a radial track on a rotating turntable. It’s speed, v, measured relative to the table is constant but as it moves from P to P′ there is a sideways component of velocity due to the rotation of the table, which reduces with radius. (b) In time t, the trolley has moved from P to P′, but if the track exerted no sideways force on the trolley, it would end up P′′. The sideways force required is called the Coriolis force."
fig_10_03.png,Fig. 3.   A depression crossing north Britain.   OUP:  CAN WE FIND A MODERN ATTRIBUTABLE IMAGE?,Fig. 10.3.   A depression crossing north Britain.   OUP:  CAN WE FIND A MODERN ATTRIBUTABLE IMAGE?
fig_10_04.png,Fig. 4. Does water go down a plughole in the opposite direction in Australia? Matt Parker does the experiment with a kitchen sink.,Fig. 10.4. Does water go down a plughole in the opposite direction in Australia? Matt Parker does the experiment with a kitchen sink.   HUGH CAN ASK MATT PARKER ABOUT USING THIS IMAGE
fig_10_05a.jpg,NOT FOUND IN DOC,"Fig. 10.5. (a) Jean Bernard Léon Foucault's pendulum experiment in the Pantheon, Paris, in 1851. (b) A pendulum swinging from a point, P, directly above the North pole will swing in a fixed plane while rotates below it. To an observer on the earth, the swing of the pendulum will appear to turn."
fig_10_05b.svg,NOT FOUND IN DOC,"Fig. 10.5. (a) Jean Bernard Léon Foucault's pendulum experiment in the Pantheon, Paris, in 1851. (b) A pendulum swinging from a point, P, directly above the North pole will swing in a fixed plane while rotates below it. To an observer on the earth, the swing of the pendulum will appear to turn."
fig_10_06a.png,NOT FOUND IN DOC,"Fig. 10.6. Gyroscopic precession. (a) A spinning bicycle wheel supported on a string does not fall down, as expected intuitively, but precesses around a vertical axis (b) a side view of the bicycle wheel and its axle. The string pushes up with a force mg exactly equal to the weight of the wheel. The resulting moment mgd is responsible for the gyroscopic effect."
fig_10_06b.svg,NOT FOUND IN DOC,"Fig. 10.6. Gyroscopic precession. (a) A spinning bicycle wheel supported on a string does not fall down, as expected intuitively, but precesses around a vertical axis (b) a side view of the bicycle wheel and its axle. The string pushes up with a force mg exactly equal to the weight of the wheel. The resulting moment mgd is responsible for the gyroscopic effect."
fig_10_07a.png,NOT FOUND IN DOC,"Fig. 10.7. A disc spinning in a rotating frame. (a) A rigid frame rotating at angular velocity  contains a disc spinning with angular velocity  The spin axis of the disc is at right angles to the spin axis of the frame. (b) a point, P, on the perimeter of the disc has velocity × r.    OUP:  HUGH DREW THIS"
fig_10_07b.png,NOT FOUND IN DOC,"Fig. 10.7. A disc spinning in a rotating frame. (a) A rigid frame rotating at angular velocity  contains a disc spinning with angular velocity  The spin axis of the disc is at right angles to the spin axis of the frame. (b) a point, P, on the perimeter of the disc has velocity × r.    OUP:  HUGH DREW THIS"
fig_10_08.png,"Fig. 8. The use of angular momentum to describe the gyroscopic effect. A rotor spinning with angular velocity ω is fixed to a turntable rotating with angular velocity Ω with their spin axes at right angles. The couple, Q, is at right angles to both spin axes.    OUP:  HUGH DREW THIS","Fig. 10.8. The use of angular momentum to describe the gyroscopic effect. A rotor spinning with angular velocity  is fixed to a turntable rotating with angular velocity  with their spin axes at right angles. The couple, Q, is at right angles to both spin axes.   OUP:  HUGH DREW THIS"
fig_10_09a.png,NOT FOUND IN DOC,Fig. 10.9. A bicycle fitted with a reverse spinning wheel used to demonstrate that gyroscopic effects are not significant.   HUGH'S PERSONAL PHOTOS
fig_10_09b.png,NOT FOUND IN DOC,Fig. 10.9. A bicycle fitted with a reverse spinning wheel used to demonstrate that gyroscopic effects are not significant.   HUGH'S PERSONAL PHOTOS
fig_10_10a.png,NOT FOUND IN DOC,"Fig. 10.10. A stone bouncing on water. The force f is off-centre and without the gyroscopic effect of the spinning stone, it would tip over."
fig_10_10b.png,NOT FOUND IN DOC,"Fig. 10.10. A stone bouncing on water. The force f is off-centre and without the gyroscopic effect of the spinning stone, it would tip over."
fig_10_11.png,"Figure 11 shows how the flattening of the earth at the poles causes a bulge around the equator, due to centrifugal force.  The resulting shape is called an oblate spheroid. To avoid having to solve lengthy triple integrals along the principal axes, we will approximate the bulge to four lumps of weight m placed symmetrically round the equator, as shown in Fig. 12.",Fig. 10.11. The Gyrocompass. A spinning disc will try to align itself to spin axis of the earth    OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_10_12a.png,NOT FOUND IN DOC,Fig. 10.12. The earth is an oblate spheroid and it is shown here with an inscribed sphere
fig_10_12b.png,NOT FOUND IN DOC,Fig. 10.12. The earth is an oblate spheroid and it is shown here with an inscribed sphere
fig_10_13.png,Fig. 13. The bulge on the earth is represented by discrete masses. Forces on these masses depend on their distance to the moon.,Fig. 10.13. The bulge on the earth is represented by discrete masses. Forces on these masses depend on their distance to the moon.
fig_10_14a.jpg,NOT FOUND IN DOC,Fig. 10.14. A gyroscope on a cone of height h and radius a   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_10_14b.jpg,NOT FOUND IN DOC,Fig. 10.14. A gyroscope on a cone of height h and radius a   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_10_14c.png,NOT FOUND IN DOC,Fig. 10.14. A gyroscope on a cone of height h and radius a   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_10_15a.png,NOT FOUND IN DOC,Fig. 10.15. (a) A gyroscope overhanging a shelf. (b) a sideview showing a weight (in red) to stop the stand from tipping over when the gyroscope is vertical. (c) the same weight prevents tipping when the gyroscope is horizontal and precessing. This is counter-intuitive as you would think you need more weight in (c).
fig_10_15b.png,NOT FOUND IN DOC,Fig. 10.15. (a) A gyroscope overhanging a shelf. (b) a sideview showing a weight (in red) to stop the stand from tipping over when the gyroscope is vertical. (c) the same weight prevents tipping when the gyroscope is horizontal and precessing. This is counter-intuitive as you would think you need more weight in (c).
fig_10_15c.png,NOT FOUND IN DOC,Fig. 10.15. (a) A gyroscope overhanging a shelf. (b) a sideview showing a weight (in red) to stop the stand from tipping over when the gyroscope is vertical. (c) the same weight prevents tipping when the gyroscope is horizontal and precessing. This is counter-intuitive as you would think you need more weight in (c).
fig_11_01.jpg,Fig. 1. The moon came to be after a rogue Mars-sized planet (called Theia) collided with the Earth.  OUP:  NOT SURE WHERE THIS IMAGE IS FROM,Fig. 11.1. The moon came to be after a rogue Mars-sized planet (called Theia) collided with the Earth   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_11_02.png,Fig. 2.  A coupled pair of pendulums.,Fig. 11.2.  A coupled pair of pendulums   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_11_03a.png,NOT FOUND IN DOC,"Fig. 11.3. (a) mode 1, ω=√(ωo2–k), (b) mode 2, ω=√(ωo2+k) and (c) The sum of modes 1 and 2."
fig_11_03b.png,NOT FOUND IN DOC,"Fig. 11.3. (a) mode 1, ω=√(ωo2–k), (b) mode 2, ω=√(ωo2+k) and (c) The sum of modes 1 and 2."
fig_11_03c.png,NOT FOUND IN DOC,"Fig. 11.3. (a) mode 1, ω=√(ωo2–k), (b) mode 2, ω=√(ωo2+k) and (c) The sum of modes 1 and 2."
fig_11_04.jpg,Fig. 4.  A coupled pendulum experiment with string and coins.  OUP:  NOT SURE WHERE THIS IMAGE IS FROM,Fig. 11.4.  A coupled pendulum experiment with string and coins.  OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_11_05.png,Fig. 5. Tippe top.   OUP:   HUGH SAYS:  I CAN TAKE MY OWN PHOTO - I HAVE A FEW TIPPETOPS,Fig. 11.5. Tippe top   OUP:   HUGH SAYS:  I CAN TAKE MY OWN PHOTO - I HAVE A FEW TIPPETOPS
fig_12_01.jpg,Fig.1. Stonehenge  OUP:  NOT SURE WHERE THIS IMAGE IS FROM,Fig.12.1. Stonehenge    OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_12_02.svg,"Fig. 2. The Earth at three points of its orbit A, B and C at time intervals of 23.934 hours. If the earth’s orbit around the sun were circular, then the sun would be overhead every 24 hours. On an elliptical orbit the speed of the earth varies depending on where it is in the orbit, so the timing of “solar noon” varies depending on the time of year.","Fig. 12.2. The Earth at three points of its orbit A, B and C at time intervals of 23.934 hours. If the earth’s orbit around the sun were circular, then the sun would be overhead every 24 hours. On an elliptical orbit the speed of the earth varies depending on where it is in the orbit, so the timing of “solar noon” varies depending on the time of year."
fig_12_03.png,"Fig. 3.  Sunrise, noon and sunset around the winter solstice.","Fig. 12.3.  Sunrise, noon and sunset around the winter solstice."
fig_12_04.svg,"Figure 4 shows the Earth with its spin axis vertical so that the equatorial plane is horizontal. For ease of analysis, the Sun is shown orbiting the earth in the plane of the ecliptic, which is inclined at inclined at the angle of θ = 23.5°. From the point of view of the Earth, and ignoring the Earth’s rotation, the Sun orbits once a year. What we see on a sundial is affected by the apparent angular speed of the Sun projected onto a horizontal plane. The analysis gets a bit hairy but ultimately, we find “the equation of time”.",Fig. 12.4. An illustration of the sun orbiting the earth (an earth-centred frame of reference is convenient for this analysis). The diagram shows the summer and winter solstices (longest and shortest days) and the two equinoxes.
fig_12_05.svg,Fig. 5.  The equation of time.  Day 1 is 1st January. Negative is watch-fast compared with Sun. This includes both the effect of the inclination of plane of the ecliptic and the ellipticity of the Earth’s orbit.,Fig. 12.5.  The equation of time.  Day 1 is 1st January. Negative is watch-fast compared with Sun. This includes both the effect of the inclination of plane of the ecliptic and the ellipticity of the Earth’s orbit.
fig_12_06a.png,NOT FOUND IN DOC,Fig. 12.6. Determining the time of sunrise and sunset. (a) a view of the Earth at the winter solstice (northern hemisphere). (b) a view down from the North Pole showing the section at latitude L as a circle of radius r.
fig_12_06b.png,NOT FOUND IN DOC,Fig. 12.6. Determining the time of sunrise and sunset. (a) a view of the Earth at the winter solstice (northern hemisphere). (b) a view down from the North Pole showing the section at latitude L as a circle of radius r.
fig_13_01a.jpg,NOT FOUND IN DOC,Fig. 13.1. Well-known engineering failures. (a) The Tacoma Narrows Bridge and (b) the De Havilland Comet aircraft.   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_13_01b.png,NOT FOUND IN DOC,Fig. 13.1. Well-known engineering failures. (a) The Tacoma Narrows Bridge and (b) the De Havilland Comet aircraft.   OUP:  NOT SURE WHERE THIS IMAGE IS FROM
fig_13_02.svg,Figure 2. A structure with Poisson’s ratio 1/2√2.,Fig. 13.2. A structure with Poisson’s ratio 1/2√2.
fig_13_03.svg,"Figure 3. The variation of energy of an atom with distance from its neighbour (spacing) for n = 9 m = 3. Thermal activation causes vibration, sufficient vibration causes melting and then evaporation.   HUGH DID THIS IN MATLAB","Fig. 13.3. The variation of energy of an atom with distance from its neighbour (spacing) for n = 9 m = 3. Thermal activation causes vibration, sufficient vibration causes melting and then evaporation.  HUGH DID THIS IN MATLAB"
fig_13_04a.svg,NOT FOUND IN DOC,Fig. 13.4 (a) Stresses on a unit cube (z perpendicular to the page). (b) hydrostatic stress occurs when the stresses on all faces are equal. (c) and (d) pure shear with σz = 0.
fig_13_04b.svg,NOT FOUND IN DOC,Fig. 13.4 (a) Stresses on a unit cube (z perpendicular to the page). (b) hydrostatic stress occurs when the stresses on all faces are equal. (c) and (d) pure shear with σz = 0.
fig_13_04c.svg,NOT FOUND IN DOC,Fig. 13.4 (a) Stresses on a unit cube (z perpendicular to the page). (b) hydrostatic stress occurs when the stresses on all faces are equal. (c) and (d) pure shear with σz = 0.
fig_13_04d.svg,NOT FOUND IN DOC,Fig. 13.4 (a) Stresses on a unit cube (z perpendicular to the page). (b) hydrostatic stress occurs when the stresses on all faces are equal. (c) and (d) pure shear with σz = 0.
fig_13_05.svg,"Figure 5. A rod of length L subject to an axial force, P. (a) The principal buckling mode P = (π2 E I) / L2",
fig_13_06.png,"Figure 6. A climber on a rope AB, anchored at B. The stretch of the rope x needs to be enough so as to avoid a sudden jolt that will injure the climber but not so much as to break the rope.   OUP:   THIS IS FROM CUED PREPARATORY PROBLEMS FOR NEW STUDENTS.  I'M SURE WE CAN GET PERMISSION TO USE IT","Fig.13.6. A climber on a rope AB, anchored at B. The stretch of the rope x needs to be enough so as to avoid a sudden jolt that will injure the climber but not so much as to break the rope.   OUP:   THIS IS FROM CUED PREPARATORY PROBLEMS FOR NEW STUDENTS.  I'M SURE WE CAN GET PERMISSION TO USE IT"
fig_13_07a.jpg,NOT FOUND IN DOC,Fig 13.7. The Challenger disaster. (a) The aftermath of the explosion and (b) the join and ‘O’ ring seal.  OUP:  NOT SURE WHERE THESE COME FROM
fig_13_07b.jpg,NOT FOUND IN DOC,Fig 13.7. The Challenger disaster. (a) The aftermath of the explosion and (b) the join and ‘O’ ring seal.  OUP:  NOT SURE WHERE THESE COME FROM
fig_13_08a.png,NOT FOUND IN DOC,"Fig. 13.8. The ‘O’ ring seal, (a) the gap widens to allow initial blow past the gap, (b) Higher pressure squashes the ‘O’ ring to recreate the seal. Unfortunately, the cold temperature on the day meant the ‘O’ ring was more like glass than rubber."
fig_13_08b.png,NOT FOUND IN DOC,"Fig. 13.8. The ‘O’ ring seal, (a) the gap widens to allow initial blow past the gap, (b) Higher pressure squashes the ‘O’ ring to recreate the seal. Unfortunately, the cold temperature on the day meant the ‘O’ ring was more like glass than rubber."
fig_13_09.jpg,Figure 9. Cupid stringing his bow  OUP:  NOT SURE WHERE THESE COME FROM,Fig. 13.9. Cupid stringing his bow.  OUP:  NOT SURE WHERE THESE COME FROM
fig_13_10.png,Figure 10 An arrow when released is subject to a high axial force and it will bend. But if the natural frequency is just right then the vibrating arrow will clear the bow and will go straight.,Fig.13.10 An arrow when released is subject to a high axial force and it will bend. But if the natural frequency is just right then the vibrating arrow will clear the bow and will go straight.
